choose = 2
0.0009 0.00492814 0.00090000 77
0.00100000 0.00566301 0.00100000 90
0.00110000 0.00636380 0.00110000 88
0.00120000 0.00643117 0.00120000 123
0.00130000 0.00817742 0.00130000 113
0.00140000 0.00858680 0.00140000 68
0.00150000 0.00889110 0.00150000 75
0.00160000 0.00914456 0.00160000 96
0.00170000 0.00936644 0.00170000 68
0.00180000 0.00956622 0.00180000 82
0.00190000 0.00974944 0.00190000 52

choose = 3
0.00080000 0.00530340 0.00080000 55
0.00090000 0.00617149 0.00090000 70
0.00100000 0.00697916 0.00100000 86
0.00110000 0.00783333 0.00110000 50
0.00120000 0.00824559 0.00120000 71
0.00130000 0.00855859 0.00130000 55
0.00140000 0.00886296 0.00140000 72
0.00150000 0.00914473 0.00150000 64
0.00160000 0.00938577 0.00160000 68
0.00170000 0.00959987 0.00170000 74
0.00180000 0.00979444 0.00180000 126
0.00190000 0.00997402 0.00190000 68

choose = 4
0.00070000 0.00443557 0.00070000 104
0.00080000 0.00620052 0.00080000 89
0.00090000 0.00696606 0.00090000 39
0.00100000 0.00747841 0.00100000 73
0.00110000 0.00808670 0.00110000 90
0.00120000 0.00846957 0.00120000 64
0.00130000 0.00877164 0.00130000 36
0.00140000 0.00902927 0.00140000 104
0.00150000 0.00925772 0.00150000 52
0.00160000 0.00946510 0.00160000 59
0.00170000 0.00965635 0.00170000 91
0.00180000 0.00983474 0.00180000 88
0.00190000 0.01000256 0.00190000 70

choose = 5
0.00070000 0.00490089 0.00070000 129
0.00080000 0.00641588 0.00080000 67
0.00090000 0.00716835 0.00090000 48
0.00100000 0.00768608 0.00100000 88
0.00110000 0.00810684 0.00110000 128
0.00120000 0.00846957 0.00120000 58
0.00130000 0.00877164 0.00130000 32
0.00140000 0.00902927 0.00140000 103
0.00150000 0.00925771 0.00150000 41
0.00160000 0.00946510 0.00160000 79
0.00170000 0.00965635 0.00170000 59
0.00180000 0.00983474 0.00180000 84
0.00190000 0.01000256 0.00190000 80

choose = 6
0.00070000 0.00526668 0.00070000 176
0.00080000 0.00651558 0.00080000 55
0.00090000 0.00717975 0.00090000 66
0.00100000 0.00768608 0.00100000 70
0.00110000 0.00810684 0.00110000 72
0.00120000 0.00846957 0.00120000 52
0.00130000 0.00877164 0.00130000 35
0.00140000 0.00902927 0.00140000 132
0.00150000 0.00925772 0.00150000 44
0.00160000 0.00946510 0.00160000 52
0.00170000 0.00965635 0.00170000 80
0.00180000 0.00983474 0.00180000 70
0.00190000 0.01000256 0.00190000 97

choose = 7
0.00070000 0.00535321 0.00070000 165
0.00080000 0.00651558 0.00080000 77
0.00090000 0.00717975 0.00090000 60
0.00100000 0.00768608 0.00100000 89
0.00110000 0.00810683 0.00110000 76
0.00120000 0.00846957 0.00120000 55
0.00130000 0.00877164 0.00130000 34
0.00140000 0.00902927 0.00140000 135
0.00150000 0.00925772 0.00150000 59
0.00160000 0.00946510 0.00160000 53
0.00170000 0.00965635 0.00170000 102
0.00180000 0.00983474 0.00180000 80
0.00190000 0.01000256 0.00190000 58

choose = 8
0.00070000 0.00538420 0.00070000 150
0.00080000 0.00651558 0.00080000 54
0.00090000 0.00717975 0.00090000 64
0.00100000 0.00768608 0.00100000 132
0.00110000 0.00810684 0.00110000 72
0.00120000 0.00846957 0.00120000 58
0.00130000 0.00877164 0.00130000 36
0.00140000 0.00902927 0.00140000 105
0.00150000 0.00925771 0.00150000 67
0.00160000 0.00946510 0.00160000 58
0.00170000 0.00965635 0.00170000 102
0.00180000 0.00983474 0.00180000 77
0.00190000 0.01000256 0.00190000 87

choose = 9
0.00070000 0.00538747 0.00070000 131
0.00080000 0.00651558 0.00080000 40
0.00090000 0.00717975 0.00090000 105
0.00100000 0.00768608 0.00100000 77
0.00110000 0.00810684 0.00110000 94
0.00120000 0.00846957 0.00120000 71
0.00130000 0.00877164 0.00130000 33
0.00140000 0.00902927 0.00140000 42
0.00150000 0.00925771 0.00150000 78
0.00160000 0.00946510 0.00160000 65
0.00170000 0.00965635 0.00170000 51
0.00180000 0.00983474 0.00180000 127
0.00190000 0.01000256 0.00190000 82

choose = 10
0.00070000 0.00538746 0.00070000 128
0.00080000 0.00651558 0.00080000 43
0.00090000 0.00717975 0.00090000 90
0.00100000 0.00768608 0.00100000 78
0.00110000 0.00810684 0.00110000 67
0.00120000 0.00846957 0.00120000 64
0.00130000 0.00877164 0.00130000 33
0.00140000 0.00902927 0.00140000 120
0.00150000 0.00925771 0.00150000 39
0.00160000 0.00946510 0.00160000 84
0.00170000 0.00965635 0.00170000 74
0.00180000 0.00983474 0.00180000 95
0.00190000 0.01000256 0.00190000 114

