choose = 2
0.00090000 0.00493123 0.00090016 101
0.00100000 0.00566987 0.00100048 140
0.00110000 0.00636380 0.00110001 110
0.00120000 0.00643139 0.00120040 94
0.00130000 0.00817741 0.00130000 78
0.00140000 0.00858675 0.00139999 18
0.00150000 0.00889110 0.00150000 21
0.00160000 0.00914456 0.00160000 20
0.00170000 0.00936639 0.00169998 20
0.00180000 0.00956620 0.00179999 25
0.00190000 0.00974940 0.00189998 24

choose = 3
0.00080000 0.00531047 0.00080087 87
0.00090000 0.00617839 0.00090089 85
0.00100000 0.00698128 0.00100065 83
0.00110000 0.00783774 0.00110088 67
0.00120000 0.00824746 0.00120054 49
0.00130000 0.00855873 0.00130037 57
0.00140000 0.00886420 0.00140074 62
0.00150000 0.00914601 0.00150090 33
0.00160000 0.00938628 0.00160042 40
0.00170000 0.00959986 0.00169999 29
0.00180000 0.00979591 0.00180088 38
0.00190000 0.00997555 0.00190089 46

choose = 4
0.00070000 0.00444071 0.00070044 141
0.00080000 0.00620471 0.00080057 92
0.00090000 0.00696908 0.00090051 91
0.00100000 0.00747980 0.00100098 78
0.00110000 0.00808810 0.00110059 57
0.00120000 0.00847150 0.00120060 65
0.00130000 0.00877305 0.00130072 57
0.00140000 0.00902969 0.00140070 50
0.00150000 0.00925906 0.00150069 45
0.00160000 0.00946627 0.00160100 34
0.00170000 0.00965706 0.00170044 49
0.00180000 0.00983567 0.00180091 50
0.00190000 0.01000251 0.00189998 37

choose = 5
0.00070000 0.00491111 0.00070071 104
0.00080000 0.00642274 0.00080077 84
0.00090000 0.00717248 0.00090075 80
0.00100000 0.00768915 0.00100086 76
0.00110000 0.00810916 0.00110095 49
0.00120000 0.00847220 0.00120080 41
0.00130000 0.00877339 0.00130099 44
0.00140000 0.00903051 0.00140068 45
0.00150000 0.00925845 0.00150038 30
0.00160000 0.00946648 0.00160091 35
0.00170000 0.00965737 0.00170055 44
0.00180000 0.00983567 0.00180091 38
0.00190000 0.01000329 0.00190059 30

choose = 6
0.00070000 0.00527394 0.00070076 87
0.00080000 0.00652030 0.00080076 48
0.00090000 0.00718324 0.00090092 65
0.00100000 0.00768820 0.00100080 43
0.00110000 0.00810960 0.00110078 71
0.00120000 0.00847220 0.00120080 36
0.00130000 0.00877286 0.00130064 14
0.00140000 0.00903027 0.00140057 31
0.00150000 0.00925845 0.00150038 27
0.00160000 0.00946648 0.00160091 29
0.00170000 0.00965754 0.00170094 33
0.00180000 0.00983474 0.00180000 37
0.00190000 0.01000253 0.00189998 34

choose = 7
0.00070000 0.00536174 0.00070058 79
0.00080000 0.00652232 0.00080096 51
0.00090000 0.00718260 0.00090087 37
0.00100000 0.00769010 0.00100097 63
0.00110000 0.00810885 0.00110090 63
0.00120000 0.00847129 0.00120080 20
0.00130000 0.00877197 0.00130070 25
0.00140000 0.00902995 0.00140088 30
0.00150000 0.00925890 0.00150089 30
0.00160000 0.00946630 0.00160085 30
0.00170000 0.00965736 0.00170056 38
0.00180000 0.00983622 0.00180098 25
0.00190000 0.01000356 0.00190065 31

choose = 8
0.00070000 0.00539135 0.00070089 88
0.00080000 0.00652008 0.00080096 39
0.00090000 0.00718344 0.00090076 64
0.00100000 0.00768891 0.00100074 28
0.00110000 0.00810940 0.00110079 30
0.00120000 0.00847129 0.00120080 33
0.00130000 0.00877197 0.00130070 26
0.00140000 0.00902995 0.00140088 27
0.00150000 0.00925890 0.00150089 27
0.00160000 0.00946630 0.00160085 28
0.00170000 0.00965736 0.00170056 36
0.00180000 0.00983622 0.00180098 26
0.00190000 0.01000356 0.00190065 32

choose = 9
0.00070000 0.00539896 0.00070095 72
0.00080000 0.00652155 0.00080084 39
0.00090000 0.00718304 0.00090084 73
0.00100000 0.00768891 0.00100074 27
0.00110000 0.00810881 0.00110092 25
0.00120000 0.00847100 0.00120045 27
0.00130000 0.00877255 0.00130041 18
0.00140000 0.00903055 0.00140089 37
0.00150000 0.00925872 0.00150055 30
0.00160000 0.00946660 0.00160087 30
0.00170000 0.00965736 0.00170056 34
0.00180000 0.00983622 0.00180098 26
0.00190000 0.01000356 0.00190065 40

choose = 10
0.00070000 0.00539455 0.00070078 82
0.00080000 0.00652077 0.00080094 36
0.00090000 0.00718334 0.00090080 46
0.00100000 0.00768893 0.00100099 25
0.00110000 0.00810881 0.00110092 26
0.00120000 0.00847100 0.00120045 14
0.00130000 0.00877255 0.00130041 18
0.00140000 0.00903051 0.00140061 31
0.00150000 0.00925872 0.00150055 30
0.00160000 0.00946660 0.00160087 30
0.00170000 0.00965736 0.00170056 34
0.00180000 0.00983622 0.00180098 27
0.00190000 0.01000356 0.00190065 32

