choose = 2
0.0009 0.00090000 0.00148982 14
0.00100000 0.00100000 0.00115293 11
0.00110000 0.00110000 0.00119124 50
0.00120000 0.00120000 0.00123129 19
0.00130000 0.00130000 0.00115682 20
0.00140000 0.00140000 0.00109173 20
0.00150000 0.00150000 0.00103599 20
0.00160000 0.00160000 0.00098962 67
0.00170000 0.00170000 0.00095262 24
0.00180000 0.00180000 0.00092498 32
0.00190000 0.00190000 0.00090671 20
0.00200000 0.00200000 0.00089780 20
0.00210000 0.00210000 0.00089826 21
0.00220000 0.00220000 0.00090808 22
0.00230000 0.00230000 0.00092727 38
0.00240000 0.00240000 0.00095583 24
0.00250000 0.00250000 0.00099375 24
0.00260000 0.00260000 0.00102312 26
0.00270000 0.00270000 0.00096063 29
0.00280000 0.00280000 0.00082911 27
0.00290000 0.00290000 0.00088993 50
0.00300000 0.00300000 0.00101863 21
0.00310000 0.00310000 0.00093779 27
0.00320000 0.00320000 0.00101320 28
0.00330000 0.00330000 0.00099041 59
0.00340000 0.00340000 0.00092259 35
0.00350000 0.00350000 0.00087357 28
0.00360000 0.00360000 0.00084333 30
0.00370000 0.00370000 0.00083188 26
0.00380000 0.00380000 0.00083921 27
0.00390000 0.00390000 0.00086533 74
0.00400000 0.00400000 0.00091023 29
0.00410000 0.00410000 0.00091892 58
0.00420000 0.00420000 0.00092712 31
0.00430000 0.00430000 0.00092273 29
0.00440000 0.00440000 0.00091188 26
0.00450000 0.00450000 0.00090376 27
0.00460000 0.00460000 0.00089839 25
0.00470000 0.00470000 0.00089575 23
0.00480000 0.00480000 0.00089586 25
0.00490000 0.00490000 0.00089871 49
0.00500000 0.00500000 0.00090429 28
0.00510000 0.00510000 0.00091262 25
0.00520000 0.00520000 0.00092369 23
0.00530000 0.00530000 0.00093749 31
0.00540000 0.00540000 0.00095404 25
0.00550000 0.00550000 0.00097333 27
0.00560000 0.00560000 0.00099536 23
0.00570000 0.00570000 0.00100303 27
0.00580000 0.00580000 0.00101638 23
0.00590000 0.00590000 0.00103728 27
0.00600000 0.00600000 0.00106571 26
0.00610000 0.00610000 0.00110169 32
0.00620000 0.00620000 0.00107808 26
0.00630000 0.00630000 0.00105420 31
0.00640000 0.00640000 0.00114714 22
0.00650000 0.00650000 0.00128370 51
0.00660000 0.00660000 0.00126334 24
0.00670000 0.00670000 0.00123896 26
0.00680000 0.00680000 0.00122640 24
0.00690000 0.00690000 0.00122565 25
0.00700000 0.00700000 0.00123318 22
0.00710000 0.00710000 0.00122613 22
0.00720000 0.00720000 0.00122143 22
0.00730000 0.00730000 0.00121910 52
0.00740000 0.00740000 0.00121913 24
0.00750000 0.00750000 0.00122153 22
0.00760000 0.00760000 0.00122629 24
0.00770000 0.00770000 0.00123341 52
0.00780000 0.00780000 0.00124290 24
0.00790000 0.00790000 0.00125475 19
0.00800000 0.00800000 0.00126896 20
0.00810000 0.00810000 0.00128554 22
0.00820000 0.00820000 0.00130448 20
0.00830000 0.00830000 0.00132579 38
0.00840000 0.00840000 0.00134946 22
0.00850000 0.00850000 0.00137549 25
0.00860000 0.00860000 0.00140389 20
0.00870000 0.00870000 0.00143464 51
0.00880000 0.00880000 0.00146777 24
0.00890000 0.00890000 0.00150325 21
0.00900000 0.00900000 0.00154110 23
0.00910000 0.00910000 0.00158132 47
0.00920000 0.00920000 0.00162390 20
0.00930000 0.00930000 0.00166884 22
0.00940000 0.00940000 0.00171614 23
0.00950000 0.00950000 0.00176581 54
0.00960000 0.00960000 0.00181784 20
0.00970000 0.00970000 0.00187223 20
0.00980000 0.00980000 0.00192899 23
0.00990000 0.00990000 0.00198812 19
0.01000000 0.01000000 0.00204960 94
0.01010000 0.01010000 0.00211345 19
0.01020000 0.01020000 0.00217966 22
0.01030000 0.01030000 0.00224824 20
0.01040000 0.01040000 0.00231918 19
0.01050000 0.01050000 0.00239248 36
0.01060000 0.01060000 0.00246815 18
0.01070000 0.01070000 0.00254618 18
0.01080000 0.01080000 0.00262658 19
0.01090000 0.01090000 0.00270452 19
0.01100000 0.01100000 0.00275403 44
0.01110000 0.01110000 0.00280885 18
0.01120000 0.01120000 0.00286897 21
0.01130000 0.01130000 0.00293440 21
0.01140000 0.01140000 0.00300513 21
0.01150000 0.01150000 0.00308116 60
0.01160000 0.01160000 0.00316250 19
0.01170000 0.01170000 0.00324914 20
0.01180000 0.01180000 0.00334108 18
