choose = 2
0.00010000 0.00010000 0.00052521 98
0.00020000 0.00020000 0.00051611 95
0.00030000 0.00030000 0.00051766 128
0.00040000 0.00040000 0.00052579 163
0.00050000 0.00050000 0.00050719 155
0.00060000 0.00060002 0.00049145 150
0.00070000 0.00070000 0.00047857 181
0.00080000 0.00080000 0.00046048 156
0.00090000 0.00090000 0.00044121 200
0.00100000 0.00100000 0.00042321 184
0.00110000 0.00110000 0.00040648 192
0.00120000 0.00120000 0.00039102 198
0.00130000 0.00130000 0.00037683 197
0.00140000 0.00140000 0.00036391 192
0.00150000 0.00150000 0.00035226 223
0.00160000 0.00160000 0.00034189 206
0.00170000 0.00170009 0.00032906 204
0.00180000 0.00180008 0.00031568 203
0.00190000 0.00190000 0.00030536 200
0.00200000 0.00200008 0.00029808 205
0.00210000 0.00210005 0.00029387 179
0.00220000 0.00219964 0.00029270 215
0.00230000 0.00229999 0.00029459 185
0.00240000 0.00240000 0.00028644 190
0.00250000 0.00250000 0.00029411 245
0.00260000 0.00260000 0.00029600 275
0.00270000 0.00270000 0.00029049 259
0.00280000 0.00280000 0.00028673 279
0.00290000 0.00290000 0.00028474 234
0.00300000 0.00300000 0.00028452 284
0.00310000 0.00310000 0.00028605 246
0.00320000 0.00320000 0.00028935 258
0.00330000 0.00330000 0.00029441 266
0.00340000 0.00340000 0.00030123 292
0.00350000 0.00350000 0.00030981 256
0.00360000 0.00360000 0.00032008 338
0.00370000 0.00369969 0.00033029 305
0.00380000 0.00379997 0.00034202 290
0.00390000 0.00389997 0.00035518 278
0.00400000 0.00400000 0.00036980 296
0.00410000 0.00410000 0.00038588 261
0.00420000 0.00420000 0.00040342 301
0.00430000 0.00430000 0.00041572 270
0.00440000 0.00440000 0.00043258 279
0.00450000 0.00450000 0.00042068 219
0.00460000 0.00460000 0.00040637 230
0.00470000 0.00470000 0.00039923 223
0.00480000 0.00480000 0.00039963 204
0.00490000 0.00490000 0.00040759 189
0.00500000 0.00499985 0.00042308 257
0.00510000 0.00509989 0.00044614 174
0.00520000 0.00520000 0.00047679 217
0.00530000 0.00530000 0.00049412 222
0.00540000 0.00540000 0.00051772 198
0.00550000 0.00550000 0.00053944 220
0.00560000 0.00560000 0.00054738 208
0.00570000 0.00570000 0.00055666 208
0.00580000 0.00580000 0.00056725 176
0.00590000 0.00590000 0.00057918 226
0.00600000 0.00600000 0.00059242 171
0.00610000 0.00610000 0.00060699 181
0.00620000 0.00620000 0.00062289 193
0.00630000 0.00630000 0.00064011 150
0.00640000 0.00640000 0.00065866 174
0.00650000 0.00649992 0.00067851 176
0.00660000 0.00660000 0.00069972 181
0.00670000 0.00670000 0.00069259 156
0.00680000 0.00680000 0.00068649 98
0.00690000 0.00690000 0.00068452 77
0.00700000 0.00700000 0.00068669 85
0.00710000 0.00710000 0.00069301 77
0.00720000 0.00720000 0.00070346 77
0.00730000 0.00730000 0.00071806 69
0.00740000 0.00740000 0.00073654 89
0.00750000 0.00750000 0.00075688 104
0.00760000 0.00760000 0.00078169 95
0.00770000 0.00770000 0.00081099 97
0.00780000 0.00780000 0.00084477 70
0.00790000 0.00790000 0.00088302 77
0.00800000 0.00800000 0.00092576 69
0.00810000 0.00810000 0.00096173 67
0.00820000 0.00820000 0.00097420 67
0.00830000 0.00830000 0.00100105 64
0.00840000 0.00840000 0.00104228 69
0.00850000 0.00850000 0.00109788 68
0.00860000 0.00860000 0.00116785 67
0.00870000 0.00870000 0.00125220 69
0.00880000 0.00880000 0.00132046 55
0.00890000 0.00890000 0.00142993 52
0.00900000 0.00900000 0.00158382 55

choose = 3
0.00010000 0.00010000 0.00042115 216
0.00020000 0.00020000 0.00040694 171
0.00030000 0.00030000 0.00040086 173
0.00040000 0.00040000 0.00039387 201
0.00050000 0.00050000 0.00038898 198
0.00060000 0.00060000 0.00037954 218
0.00070000 0.00070000 0.00037160 231
0.00080000 0.00080000 0.00036641 231
0.00090000 0.00090000 0.00035982 229
0.00100000 0.00100000 0.00034904 242
0.00110000 0.00110000 0.00033919 261
0.00120000 0.00120000 0.00033028 234
0.00130000 0.00130000 0.00032231 264
0.00140000 0.00140000 0.00031527 224
0.00150000 0.00150000 0.00030916 231
0.00160000 0.00160000 0.00030399 211
0.00170000 0.00170000 0.00029976 214
0.00180000 0.00180000 0.00028912 210
0.00190000 0.00190000 0.00027991 298
0.00200000 0.00200000 0.00027374 228
0.00210000 0.00210000 0.00027059 307
0.00220000 0.00220000 0.00027047 364
0.00230000 0.00230000 0.00027339 398
0.00240000 0.00240000 0.00027368 407
0.00250000 0.00250000 0.00026965 473
0.00260000 0.00260000 0.00027063 485
0.00270000 0.00270000 0.00026696 492
0.00280000 0.00280000 0.00026497 490
0.00290000 0.00290000 0.00026468 504
0.00300000 0.00300000 0.00026609 480
0.00310000 0.00310000 0.00026917 486
0.00320000 0.00320000 0.00027151 605
0.00330000 0.00330000 0.00027557 529
0.00340000 0.00340000 0.00027806 529
0.00350000 0.00350000 0.00028084 571
0.00360000 0.00360000 0.00028474 511
0.00370000 0.00370000 0.00028873 1075
0.00380000 0.00380000 0.00029348 563
0.00390000 0.00390000 0.00029916 526
0.00400000 0.00400000 0.00030575 521
0.00410000 0.00410000 0.00031327 476
0.00420000 0.00420000 0.00031638 416
0.00430000 0.00430000 0.00031974 437
0.00440000 0.00440000 0.00032587 397
0.00450000 0.00450000 0.00033017 382
0.00460000 0.00460000 0.00033424 408
0.00470000 0.00470000 0.00033631 366
0.00480000 0.00480000 0.00033710 332
0.00490000 0.00490000 0.00034544 239
0.00500000 0.00500000 0.00036060 329
0.00510000 0.00510000 0.00037265 266
0.00520000 0.00520000 0.00038612 266
0.00530000 0.00530000 0.00038749 249
0.00540000 0.00540000 0.00039017 228
0.00550000 0.00550000 0.00039414 249
0.00560000 0.00560000 0.00039941 170
0.00570000 0.00570000 0.00040599 184
0.00580000 0.00580000 0.00041386 240
0.00590000 0.00590000 0.00042304 204
0.00600000 0.00600000 0.00043351 189
0.00610000 0.00610000 0.00044529 165
0.00620000 0.00620000 0.00045836 177
0.00630000 0.00630000 0.00047274 217
0.00640000 0.00640000 0.00048841 200
0.00650000 0.00650000 0.00050539 204
0.00660000 0.00660000 0.00052367 198
0.00670000 0.00670000 0.00054277 192
0.00680000 0.00680000 0.00056112 212
0.00690000 0.00690000 0.00058129 158
0.00700000 0.00700000 0.00059206 157
0.00710000 0.00710000 0.00059686 95
0.00720000 0.00720000 0.00060579 89
0.00730000 0.00730000 0.00061885 89
0.00740000 0.00740000 0.00063604 74
0.00750000 0.00750000 0.00065717 77
0.00760000 0.00760000 0.00068104 65
0.00770000 0.00770000 0.00070938 68
0.00780000 0.00780000 0.00074220 65
0.00790000 0.00790000 0.00077950 69
0.00800000 0.00800000 0.00082126 70
0.00810000 0.00810000 0.00086564 71
0.00820000 0.00820000 0.00089905 72
0.00830000 0.00830000 0.00094426 71
0.00840000 0.00840000 0.00100128 71
0.00850000 0.00850000 0.00106949 62
0.00860000 0.00860000 0.00113736 58
0.00870000 0.00870000 0.00121954 58
0.00880000 0.00880000 0.00131512 56
0.00890000 0.00890000 0.00142993 49
0.00900000 0.00899966 0.00158322 50

choose = 4
0.00010000 0.00010000 0.00036750 98
