choose = 2
0 -0.0107034 12
0.01 -0.0105672 19
0.02 -0.010431 27
0.03 -0.0102948 22
0.04 -0.0101586 19
0.05 -0.0100224 20
0.06 -0.00988624 19
0.07 -0.00975003 19
0.08 -0.00961383 20
0.09 -0.00947764 19
0.1 -0.00934246 18
0.11 -0.00920885 19
0.12 -0.00907643 19
0.13 -0.00894491 20
0.14 -0.00881411 19
0.15 -0.00868387 23
0.16 -0.0085541 19
0.17 -0.00842472 19
0.18 -0.00829565 19
0.19 -0.00816685 18
0.2 -0.00803827 18
0.21 -0.0079099 19
0.22 -0.00778169 19
0.23 -0.00765362 18
0.24 -0.00752569 20
0.25 -0.00739787 22
0.26 -0.00727015 19
0.27 -0.00714252 63
0.28 -0.00701496 31
0.29 -0.00688748 26
0.3 -0.00676006 56
0.31 -0.0066327 27
0.32 -0.00650539 30
0.33 -0.00637813 60
0.34 -0.00625091 29
0.35 -0.00612374 32
0.36 -0.0059966 54
0.37 -0.00586949 30
0.38 -0.00574241 31
0.39 -0.00561536 31
0.4 -0.00548834 58
0.41 -0.00536134 32
0.42 -0.00523437 30
0.43 -0.00510741 50
0.44 -0.00498048 30
0.45 -0.00485356 30
0.46 -0.00472666 69
0.47 -0.00459978 34
0.48 -0.00447291 27
0.49 -0.00434606 31
0.5 -0.00421922 69
0.51 -0.00409239 30
0.52 -0.00396557 80
0.53 -0.00383877 32
0.54 -0.00371197 37
0.55 -0.00358519 75
0.56 -0.00345841 47
0.57 -0.00333164 71
0.58 -0.00320489 46
0.59 -0.00308012 72
0.6 -0.0029582 77
0.61 -0.00283633 45
0.62 -0.00271453 39
0.63 -0.00259675 83
0.64 -0.0024891 39
0.65 -0.00238189 70
0.66 -0.0022751 39
0.67 -0.0021687 77
0.68 -0.00206268 55
0.69 -0.00195966 41
0.7 -0.00185848 71
0.71 -0.00175751 39
0.72 -0.00165673 49
0.73 -0.00155613 43
0.74 -0.00145572 42
0.75 -0.00135547 73
0.76 -0.0012554 65
0.77 -0.00115548 60
0.78 -0.00105571 54
0.79 -0.000956086 61
0.8 -0.000864412 82
0.81 -0.000779971 81
0.82 -0.000695545 84
0.83 -0.000611132 100
0.84 -0.000526732 91
0.85 -0.000442345 107
0.86 -0.000367002 110
0.87 -0.000296322 130
0.88 -0.000242665 158
0.89 -0.00019696 174
0.9 -0.000152484 203
0.91 -0.000109195 198
0.92 -6.7055e-05 205
0.93 -2.642e-05 189
0.94 1.00604e-05 177
0.95 4.63158e-05 179
0.96 8.23532e-05 218
0.97 0.000115376 170
0.98 0.000145309 163
0.99 0.000174955 197

choose = 3
0 -0.0107034 7
0.01 -0.0105672 16
0.02 -0.010431 16
0.03 -0.0102948 16
0.04 -0.0101586 16
0.05 -0.0100224 15
0.06 -0.00988624 17
0.07 -0.00975003 17
0.08 -0.00961383 16
0.09 -0.00947764 16
0.1 -0.00934246 16
0.11 -0.00920885 16
0.12 -0.00907643 17
0.13 -0.00894491 17
0.14 -0.00881411 16
0.15 -0.00868387 17
0.16 -0.0085541 16
0.17 -0.00842472 15
0.18 -0.00829565 15
0.19 -0.00816685 16
0.2 -0.00803827 17
0.21 -0.0079099 16
0.22 -0.00778169 16
0.23 -0.00765362 16
0.24 -0.00752569 16
0.25 -0.00739787 16
0.26 -0.00727015 15
0.27 -0.0071426 15
0.28 -0.00701565 16
0.29 -0.0068893 15
0.3 -0.00676351 16
0.31 -0.00663821 16
0.32 -0.00651336 16
0.33 -0.00638892 15
0.34 -0.00626485 15
0.35 -0.00614111 15
0.36 -0.00601769 16
0.37 -0.00589456 15
0.38 -0.00577169 15
0.39 -0.00564906 15
0.4 -0.00552666 16
0.41 -0.00540447 15
0.42 -0.00528247 17
0.43 -0.00516065 16
0.44 -0.005039 16
0.45 -0.0049175 16
0.46 -0.00479616 16
0.47 -0.00467495 15
0.48 -0.00455386 61
0.49 -0.0044329 40
0.5 -0.00431205 156
0.51 -0.00419131 40
0.52 -0.00407067 46
0.53 -0.00395013 39
0.54 -0.00382967 39
0.55 -0.0037093 63
0.56 -0.00358901 179
0.57 -0.00346879 73
0.58 -0.00334865 164
0.59 -0.00322858 71
0.6 -0.00310857 64
0.61 -0.00299711 40
0.62 -0.00288722 39
0.63 -0.00277786 67
0.64 -0.002669 37
0.65 -0.00256062 88
0.66 -0.0024527 34
0.67 -0.00234522 44
0.68 -0.00223816 90
0.69 -0.0021315 50
0.7 -0.00202522 74
0.71 -0.00191931 48
0.72 -0.00181375 51
0.73 -0.00170852 50
0.74 -0.00160362 92
0.75 -0.00149904 61
0.76 -0.00139475 56
0.77 -0.00129105 59
0.78 -0.00118984 73
0.79 -0.00109222 73
0.8 -0.00100086 69
0.81 -0.00090979 82
0.82 -0.000818983 69
0.83 -0.000728434 76
0.84 -0.000638134 100
0.85 -0.000557003 113
0.86 -0.000484759 112
0.87 -0.000413984 125
0.88 -0.000344629 144
0.89 -0.000276646 212
0.9 -0.000209989 268
0.91 -0.000144614 996
0.92 -9.76386e-05 1198
0.93 -5.29683e-05 1168
0.94 -9.64172e-06 1306
0.95 3.23835e-05 1467
0.96 6.82511e-05 1632
0.97 9.85884e-05 1189
0.98 0.000127855 953
0.99 0.000155105 370

choose = 4
0 -0.0107034 11
0.01 -0.0105672 18
0.02 -0.010431 19
0.03 -0.0102948 18
0.04 -0.0101586 17
0.05 -0.0100224 19
0.06 -0.00988624 18
0.07 -0.00975003 17
0.08 -0.00961383 17
0.09 -0.00947764 17
0.1 -0.00934246 17
0.11 -0.00920885 17
0.12 -0.00907643 18
0.13 -0.00894491 17
0.14 -0.00881411 17
0.15 -0.00868387 18
0.16 -0.0085541 18
0.17 -0.00842472 18
0.18 -0.00829565 17
0.19 -0.00816685 18
0.2 -0.00803827 17
0.21 -0.0079099 17
0.22 -0.00778169 17
0.23 -0.00765362 17
0.24 -0.00752569 17
0.25 -0.00739787 17
0.26 -0.00727015 18
0.27 -0.0071426 18
0.28 -0.00701565 17
0.29 -0.0068893 17
0.3 -0.00676351 17
0.31 -0.00663821 17
0.32 -0.00651336 19
0.33 -0.00638892 17
0.34 -0.00626485 16
0.35 -0.00614111 16
0.36 -0.00601769 16
0.37 -0.00589456 17
0.38 -0.00577169 17
0.39 -0.00564906 17
0.4 -0.00552666 17
0.41 -0.00540447 17
0.42 -0.00528247 17
0.43 -0.00516065 17
0.44 -0.005039 17
0.45 -0.0049175 18
0.46 -0.00479616 17
0.47 -0.00467495 18
0.48 -0.00455388 17
0.49 -0.0044336 17
0.5 -0.00431442 17
0.51 -0.00419626 17
0.52 -0.00407906 20
0.53 -0.00396278 17
0.54 -0.00384736 17
0.55 -0.00373275 16
0.56 -0.00361891 18
0.57 -0.0035058 18
0.58 -0.00339339 17
0.59 -0.00328163 17
0.6 -0.00317049 17
0.61 -0.00305995 17
0.62 -0.00294998 18
0.63 -0.00284054 17
0.64 -0.00273161 16
0.65 -0.00262317 18
0.66 -0.0025152 18
0.67 -0.00240768 17
0.68 -0.00230058 174
0.69 -0.00219389 63
0.7 -0.00208759 55
0.71 -0.00198166 58
0.72 -0.00187609 74
0.73 -0.00177087 60
0.74 -0.00166597 109
0.75 -0.00156139 54
0.76 -0.00145711 66
0.77 -0.00135313 64
0.78 -0.00125317 83
0.79 -0.00115674 86
0.8 -0.00106083 83
0.81 -0.000970763 71
0.82 -0.000882076 91
0.83 -0.000796508 82
0.84 -0.00071465 83
0.85 -0.000633422 102
0.86 -0.000552802 105
0.87 -0.00047277 132
0.88 -0.000397967 135
0.89 -0.000327865 169
0.9 -0.000259158 311
0.91 -0.0001918 1008
0.92 -0.000131121 2195
0.93 -7.18513e-05 4525
0.94 -2.33231e-05 6375
0.95 1.7877e-05 6840
0.96 5.48346e-05 6338
