choose = 2
0.00000000 -0.01125714 43
0.01000000 -0.01111664 44
0.02000000 -0.01097614 46
0.03000000 -0.01083564 44
0.04000000 -0.01069514 45
0.05000000 -0.01055464 44
0.06000000 -0.01041415 44
0.07000000 -0.01027365 45
0.08000000 -0.01013315 45
0.09000000 -0.00999265 45
0.10000000 -0.00985215 44
0.11000000 -0.00971165 44
0.12000000 -0.00957116 44
0.13000000 -0.00943066 44
0.14000000 -0.00929016 44
0.15000000 -0.00914966 44
0.16000000 -0.00900916 44
0.17000000 -0.00886866 45
0.18000000 -0.00872816 45
0.19000000 -0.00858767 46
0.20000000 -0.00844717 47
0.21000000 -0.00830667 44
0.22000000 -0.00816617 44
0.23000000 -0.00802567 44
0.24000000 -0.00788573 45
0.25000000 -0.00774803 45
0.26000000 -0.00761242 44
0.27000000 -0.00747867 44
0.28000000 -0.00734660 45
0.29000000 -0.00721601 45
0.30000000 -0.00708678 45
0.31000000 -0.00695875 44
0.32000000 -0.00683183 44
0.33000000 -0.00670590 44
0.34000000 -0.00658089 44
0.35000000 -0.00645671 44
0.36000000 -0.00633330 44
0.37000000 -0.00621059 44
0.38000000 -0.00608853 44
0.39000000 -0.00596706 44
0.40000000 -0.00584615 44
0.41000000 -0.00572574 44
0.42000000 -0.00560582 43
0.43000000 -0.00548633 45
0.44000000 -0.00536726 44
0.45000000 -0.00524857 44
0.46000000 -0.00513024 44
0.47000000 -0.00501225 44
0.48000000 -0.00489458 45
0.49000000 -0.00477720 45
0.50000000 -0.00466010 44
0.51000000 -0.00454326 46
0.52000000 -0.00442666 45
0.53000000 -0.00431030 49
0.54000000 -0.00419417 51
0.55000000 -0.00407823 55
0.56000000 -0.00396250 51
0.57000000 -0.00384695 54
0.58000000 -0.00373158 53
0.59000000 -0.00361638 48
0.60000000 -0.00350133 51
0.61000000 -0.00338644 54
0.62000000 -0.00327170 54
0.63000000 -0.00315709 50
0.64000000 -0.00304261 53
0.65000000 -0.00292825 55
0.66000000 -0.00281402 54
0.67000000 -0.00269990 55
0.68000000 -0.00258588 61
0.69000000 -0.00247198 59
0.70000000 -0.00235817 50
0.71000000 -0.00224446 61
0.72000000 -0.00213084 60
0.73000000 -0.00201730 55
0.74000000 -0.00190385 54
0.75000000 -0.00179048 59
0.76000000 -0.00167719 64
0.77000000 -0.00156398 64
0.78000000 -0.00145083 63
0.79000000 -0.00133776 61
0.80000000 -0.00122475 56
0.81000000 -0.00111180 57
0.82000000 -0.00099892 57
0.83000000 -0.00088610 78
0.84000000 -0.00077333 79
0.85000000 -0.00066062 82
0.86000000 -0.00054796 89
0.87000000 -0.00043536 98
0.88000000 -0.00032280 109
0.89000000 -0.00021029 118
0.90000000 -0.00013601 135
0.91000000 -0.00007584 139
0.92000000 -0.00002032 116
0.93000000 0.00003335 135
0.94000000 0.00008525 168
0.95000000 0.00013543 206
0.96000000 0.00018394 212
0.97000000 0.00021099 181
0.98000000 0.00023268 208
0.99000000 0.00025433 180

choose = 3
0.00000000 -0.01125714 42
0.01000000 -0.01111664 44
0.02000000 -0.01097614 44
0.03000000 -0.01083564 44
0.04000000 -0.01069514 45
0.05000000 -0.01055464 45
0.06000000 -0.01041415 44
0.07000000 -0.01027365 44
0.08000000 -0.01013315 44
0.09000000 -0.00999265 45
0.10000000 -0.00985215 44
0.11000000 -0.00971165 44
0.12000000 -0.00957116 45
0.13000000 -0.00943066 44
0.14000000 -0.00929016 44
0.15000000 -0.00914966 44
0.16000000 -0.00900916 44
0.17000000 -0.00886866 43
0.18000000 -0.00872816 43
0.19000000 -0.00858767 44
0.20000000 -0.00844717 44
0.21000000 -0.00830667 44
0.22000000 -0.00816617 44
0.23000000 -0.00802567 44
0.24000000 -0.00788573 44
0.25000000 -0.00774803 44
0.26000000 -0.00761242 44
0.27000000 -0.00747867 44
0.28000000 -0.00734660 45
0.29000000 -0.00721601 44
0.30000000 -0.00708678 44
0.31000000 -0.00695875 45
0.32000000 -0.00683183 44
0.33000000 -0.00670590 44
0.34000000 -0.00658089 44
0.35000000 -0.00645671 44
0.36000000 -0.00633330 44
0.37000000 -0.00621059 45
0.38000000 -0.00608853 45
0.39000000 -0.00596706 43
0.40000000 -0.00584615 44
0.41000000 -0.00572574 44
0.42000000 -0.00560582 45
0.43000000 -0.00548633 44
0.44000000 -0.00536726 45
0.45000000 -0.00524857 44
0.46000000 -0.00513024 45
0.47000000 -0.00501225 45
0.48000000 -0.00489458 45
0.49000000 -0.00477720 44
0.50000000 -0.00466010 44
0.51000000 -0.00454326 44
0.52000000 -0.00442692 45
0.53000000 -0.00431129 44
0.54000000 -0.00419633 45
0.55000000 -0.00408201 46
0.56000000 -0.00396830 46
0.57000000 -0.00385515 44
0.58000000 -0.00374254 45
0.59000000 -0.00363045 45
0.60000000 -0.00351884 44
0.61000000 -0.00340770 44
0.62000000 -0.00329699 45
0.63000000 -0.00318671 45
0.64000000 -0.00307683 44
0.65000000 -0.00296733 45
0.66000000 -0.00285819 44
0.67000000 -0.00274940 45
0.68000000 -0.00264095 44
0.69000000 -0.00253281 44
0.70000000 -0.00242497 45
0.71000000 -0.00231743 44
0.72000000 -0.00221017 44
0.73000000 -0.00210318 47
0.74000000 -0.00199644 55
0.75000000 -0.00188995 54
0.76000000 -0.00178370 54
0.77000000 -0.00167768 58
0.78000000 -0.00157187 55
0.79000000 -0.00146628 67
0.80000000 -0.00136089 79
0.81000000 -0.00125569 78
0.82000000 -0.00115069 75
0.83000000 -0.00104586 77
0.84000000 -0.00094121 84
0.85000000 -0.00083673 92
0.86000000 -0.00073241 78
0.87000000 -0.00062825 81
0.88000000 -0.00052424 81
0.89000000 -0.00042038 102
0.90000000 -0.00031666 103
0.91000000 -0.00021307 124
0.92000000 -0.00013941 130
0.93000000 -0.00006962 155
0.94000000 -0.00000254 169
0.95000000 0.00006102 236
0.96000000 0.00010283 288
0.97000000 0.00014110 300
0.98000000 0.00017084 274
0.99000000 0.00019704 261

choose = 4
0.00000000 -0.01125714 42
0.01000000 -0.01111664 46
0.02000000 -0.01097614 45
0.03000000 -0.01083564 46
0.04000000 -0.01069514 45
0.05000000 -0.01055464 45
0.06000000 -0.01041415 45
0.07000000 -0.01027365 45
0.08000000 -0.01013315 45
0.09000000 -0.00999265 45
0.10000000 -0.00985215 45
0.11000000 -0.00971165 45
0.12000000 -0.00957116 45
0.13000000 -0.00943066 45
0.14000000 -0.00929016 45
0.15000000 -0.00914966 44
0.16000000 -0.00900916 45
0.17000000 -0.00886866 45
0.18000000 -0.00872816 45
0.19000000 -0.00858767 45
0.20000000 -0.00844717 45
0.21000000 -0.00830667 45
0.22000000 -0.00816617 45
0.23000000 -0.00802567 45
0.24000000 -0.00788573 45
0.25000000 -0.00774803 45
0.26000000 -0.00761242 45
0.27000000 -0.00747867 45
0.28000000 -0.00734660 45
0.29000000 -0.00721601 46
0.30000000 -0.00708678 45
0.31000000 -0.00695875 44
0.32000000 -0.00683183 45
0.33000000 -0.00670590 44
0.34000000 -0.00658089 45
0.35000000 -0.00645671 45
0.36000000 -0.00633330 45
0.37000000 -0.00621059 46
0.38000000 -0.00608853 45
0.39000000 -0.00596706 46
0.40000000 -0.00584615 45
0.41000000 -0.00572574 45
0.42000000 -0.00560582 45
0.43000000 -0.00548633 45
0.44000000 -0.00536726 46
0.45000000 -0.00524857 44
0.46000000 -0.00513024 45
0.47000000 -0.00501225 45
0.48000000 -0.00489458 45
0.49000000 -0.00477720 45
0.50000000 -0.00466010 45
0.51000000 -0.00454326 45
0.52000000 -0.00442692 45
0.53000000 -0.00431129 45
0.54000000 -0.00419633 46
0.55000000 -0.00408201 45
0.56000000 -0.00396830 45
0.57000000 -0.00385515 45
0.58000000 -0.00374254 45
0.59000000 -0.00363045 45
0.60000000 -0.00351884 45
0.61000000 -0.00340770 44
0.62000000 -0.00329699 46
0.63000000 -0.00318671 45
0.64000000 -0.00307683 45
0.65000000 -0.00296733 46
0.66000000 -0.00285819 44
0.67000000 -0.00274940 45
0.68000000 -0.00264095 45
0.69000000 -0.00253281 45
0.70000000 -0.00242497 45
0.71000000 -0.00231743 46
0.72000000 -0.00221017 44
0.73000000 -0.00210335 45
0.74000000 -0.00199736 45
0.75000000 -0.00189218 45
0.76000000 -0.00178779 45
0.77000000 -0.00168415 44
0.78000000 -0.00158123 45
0.79000000 -0.00147900 51
0.80000000 -0.00137745 53
0.81000000 -0.00127654 69
0.82000000 -0.00117626 67
0.83000000 -0.00107657 69
0.84000000 -0.00097746 71
0.85000000 -0.00087890 67
0.86000000 -0.00078089 68
0.87000000 -0.00068339 66
0.88000000 -0.00058639 68
0.89000000 -0.00048988 93
0.90000000 -0.00039384 104
0.91000000 -0.00029825 118
0.92000000 -0.00020310 147
0.93000000 -0.00012055 170
0.94000000 -0.00004912 270
0.95000000 0.00001680 308
0.96000000 0.00006422 381
0.97000000 0.00010317 338
0.98000000 0.00014015 379
0.99000000 0.00017523 439

choose = 5
0.00000000 -0.01125714 41
0.01000000 -0.01111664 45
0.02000000 -0.01097614 45
0.03000000 -0.01083564 45
0.04000000 -0.01069514 45
0.05000000 -0.01055464 44
0.06000000 -0.01041415 46
0.07000000 -0.01027365 46
0.08000000 -0.01013315 45
0.09000000 -0.00999265 44
0.10000000 -0.00985215 45
0.11000000 -0.00971165 45
0.12000000 -0.00957116 45
0.13000000 -0.00943066 46
0.14000000 -0.00929016 46
0.15000000 -0.00914966 45
0.16000000 -0.00900916 45
0.17000000 -0.00886866 44
0.18000000 -0.00872816 45
0.19000000 -0.00858767 45
0.20000000 -0.00844717 44
0.21000000 -0.00830667 44
0.22000000 -0.00816617 45
0.23000000 -0.00802567 45
0.24000000 -0.00788573 45
0.25000000 -0.00774803 45
0.26000000 -0.00761242 45
0.27000000 -0.00747867 45
0.28000000 -0.00734660 45
0.29000000 -0.00721601 45
0.30000000 -0.00708678 47
0.31000000 -0.00695875 45
0.32000000 -0.00683183 45
0.33000000 -0.00670590 44
0.34000000 -0.00658089 45
0.35000000 -0.00645671 45
0.36000000 -0.00633330 45
0.37000000 -0.00621059 44
0.38000000 -0.00608853 46
0.39000000 -0.00596706 44
0.40000000 -0.00584615 45
0.41000000 -0.00572574 44
0.42000000 -0.00560582 45
0.43000000 -0.00548633 45
0.44000000 -0.00536726 45
0.45000000 -0.00524857 45
0.46000000 -0.00513024 45
0.47000000 -0.00501225 45
0.48000000 -0.00489458 45
0.49000000 -0.00477720 45
0.50000000 -0.00466010 45
0.51000000 -0.00454326 45
0.52000000 -0.00442692 46
0.53000000 -0.00431129 46
0.54000000 -0.00419633 46
0.55000000 -0.00408201 45
0.56000000 -0.00396830 45
0.57000000 -0.00385515 45
0.58000000 -0.00374254 44
0.59000000 -0.00363045 44
0.60000000 -0.00351884 46
0.61000000 -0.00340770 45
0.62000000 -0.00329699 45
0.63000000 -0.00318671 45
0.64000000 -0.00307683 46
0.65000000 -0.00296733 45
0.66000000 -0.00285819 45
0.67000000 -0.00274940 45
0.68000000 -0.00264095 45
0.69000000 -0.00253281 45
0.70000000 -0.00242497 45
0.71000000 -0.00231743 45
0.72000000 -0.00221017 45
0.73000000 -0.00210335 44
0.74000000 -0.00199736 45
0.75000000 -0.00189218 44
0.76000000 -0.00178779 44
